Date;Price;;;
18/9/2023;133,25;;;
15/9/2023;135,5;;;
14/9/2023;134;;;
13/9/2023;131,75;;;
12/9/2023;131,25;;;
11/9/2023;133,5;;;
08/9/2023;134;;;
07/9/2023;134,25;;;
06/9/2023;138,2;;;
05/9/2023;140,25;;;
04/9/2023;142,25;;;
01/9/2023;145,25;;;
31/8/2023;146;;;
30/8/2023;150,8;;;
29/8/2023;153,5;;;
28/8/2023;157,75;;;
25/8/2023;154,75;;;
24/8/2023;153,57;;;
23/8/2023;162;;;
22/8/2023;166;;;
21/8/2023;162,75;;;
18/8/2023;160,5;;;
17/8/2023;163,5;;;
16/8/2023;161,95;;;
15/8/2023;163,5;;;
14/8/2023;157,5;;;
11/8/2023;156,75;;;
10/8/2023;157,25;;;
09/8/2023;160,9;;;
08/8/2023;156,75;;;
07/8/2023;156;;;
04/8/2023;156,5;;;
03/8/2023;158,13;;;
02/8/2023;158,25;;;
01/8/2023;162;;;
31/7/2023;164,75;;;
28/7/2023;161,5;;;
27/7/2023;167,5;;;
26/7/2023;172,5;;;
25/7/2023;173,5;;;
24/7/2023;171;;;
21/7/2023;172,5;;;
20/7/2023;171,5;;;
19/7/2023;168,5;;;
18/7/2023;165,25;;;
17/7/2023;165,5;;;
14/7/2023;168,5;;;
13/7/2023;165,5;;;
12/7/2023;166,9;;;
11/7/2023;167,95;;;
10/7/2023;174,5;;;
07/7/2023;178,5;;;
06/7/2023;172;;;
05/7/2023;169;;;
04/7/2023;163;;;
03/7/2023;165,75;;;
30/6/2023;174,5;;;
29/6/2023;180,61;;;
28/6/2023;176,75;;;
26/6/2023;181,5;;;
23/6/2023;196;;;
22/6/2023;197,5;;;
21/6/2023;200,5;;;
20/6/2023;203,5;;;
19/6/2023;195;;;
16/6/2023;193,5;;;
15/6/2023;200;;;
14/6/2023;201;;;
13/6/2023;188;;;
12/6/2023;181,75;;;
09/6/2023;178;;;
08/6/2023;171,5;;;
07/6/2023;156;;;
06/6/2023;156,5;;;
05/6/2023;159,5;;;
02/6/2023;152;;;
01/6/2023;151,65;;;
31/5/2023;158;;;
30/5/2023;159;;;
26/5/2023;161,5;;;
25/5/2023;159;;;
24/5/2023;171,5;;;
23/5/2023;171;;;
22/5/2023;177,25;;;
18/5/2023;187;;;
17/5/2023;189,35;;;
16/5/2023;190;;;
15/5/2023;196,75;;;
12/5/2023;203;;;
11/5/2023;203,13;;;
09/5/2023;211,5;;;
05/5/2023;212,8;;;
04/5/2023;194;;;
03/5/2023;196,5;;;
02/5/2023;190;;;
28/4/2023;197,63;;;
27/4/2023;188;;;
26/4/2023;173,25;;;
25/4/2023;190;;;
24/4/2023;195;;;
21/4/2023;209;;;
20/4/2023;213,75;;;
19/4/2023;217,75;;;
18/4/2023;213;;;
17/4/2023;215;;;
14/4/2023;219;;;
13/4/2023;234;;;
12/4/2023;231;;;
11/4/2023;228;;;
06/4/2023;219;;;
05/4/2023;221;;;
04/4/2023;238,5;;;
03/4/2023;229,5;;;
31/3/2023;217,5;;;
30/3/2023;207;;;
29/3/2023;211,35;;;
28/3/2023;202,5;;;
27/3/2023;194,5;;;
24/3/2023;190,75;;;
23/3/2023;194;;;
22/3/2023;186;;;
21/3/2023;183;;;
20/3/2023;178,75;;;
17/3/2023;176;;;
16/3/2023;172;;;
15/3/2023;167,75;;;
14/3/2023;173;;;
13/3/2023;204,5;;;
10/3/2023;197;;;
09/3/2023;177,5;;;
08/3/2023;161,5;;;
07/3/2023;154,5;;;
06/3/2023;148;;;
03/3/2023;156;;;
02/3/2023;158,5;;;
01/3/2023;164,75;;;
28/2/2023;166,5;;;
27/2/2023;171,5;;;
24/2/2023;171,63;;;
23/2/2023;167,03;;;
22/2/2023;174,25;;;
21/2/2023;170;;;
20/2/2023;177;;;
17/2/2023;179,5;;;
15/2/2023;184,63;;;
14/2/2023;179;;;
10/2/2023;179;;;
09/2/2023;178,5;;;
08/2/2023;181;;;
07/2/2023;183;;;
06/2/2023;186,75;;;
03/2/2023;190,25;;;
02/2/2023;193;;;
01/2/2023;198,5;;;
31/1/2023;194;;;
30/1/2023;187,5;;;
27/1/2023;183;;;
26/1/2023;187;;;
25/1/2023;181,75;;;
24/1/2023;188;;;
23/1/2023;204;;;
20/1/2023;207,5;;;
19/1/2023;190;;;
18/1/2023;183;;;
17/1/2023;169;;;
16/1/2023;160,5;;;
13/1/2023;177;;;
12/1/2023;188,5;;;
11/1/2023;192;;;
10/1/2023;214;;;
09/1/2023;218;;;
06/1/2023;228;;;
05/1/2023;225,5;;;
04/1/2023;220;;;
03/1/2023;245;;;
02/1/2023;231;;;
30/12/2022;270;;;
29/12/2022;269,75;;;
28/12/2022;274;;;
27/12/2022;276;;;
23/12/2022;297;;;
22/12/2022;290;;;
21/12/2022;307;;;
20/12/2022;326,5;;;
19/12/2022;331;;;
16/12/2022;342;;;
15/12/2022;358,5;;;
14/12/2022;358,25;;;
13/12/2022;374;;;
12/12/2022;384,5;;;
09/12/2022;433;;;
08/12/2022;444;;;
07/12/2022;462;;;
06/12/2022;449,5;;;
05/12/2022;446;;;
02/12/2022;457;;;
01/12/2022;446;;;
30/11/2022;448,75;;;
29/11/2022;432;;;
28/11/2022;416;;;
25/11/2022;430;;;
24/11/2022;423;;;
23/11/2022;434;;;
22/11/2022;433;;;
21/11/2022;406;;;
18/11/2022;388,4;;;
17/11/2022;391;;;
16/11/2022;398;;;
15/11/2022;419;;;
14/11/2022;400;;;
11/11/2022;412;;;
10/11/2022;422;;;
09/11/2022;436;;;
08/11/2022;445,2;;;
07/11/2022;470;;;
04/11/2022;511;;;
03/11/2022;488;;;
02/11/2022;478;;;
31/10/2022;470;;;
28/10/2022;500;;;
27/10/2022;495;;;
26/10/2022;506;;;
25/10/2022;523,5;;;
24/10/2022;526;;;
21/10/2022;535;;;
20/10/2022;542;;;
19/10/2022;535;;;
18/10/2022;531;;;
17/10/2022;540,5;;;
14/10/2022;550;;;
13/10/2022;552,5;;;
12/10/2022;542;;;
11/10/2022;544,5;;;
10/10/2022;535;;;
07/10/2022;530;;;
06/10/2022;526,5;;;
05/10/2022;529;;;
04/10/2022;524;;;
03/10/2022;531;;;
30/9/2022;550;;;
29/9/2022;580;;;
28/9/2022;605;;;
27/9/2022;575;;;
26/9/2022;550;;;
23/9/2022;564;;;
22/9/2022;585;;;
21/9/2022;578;;;
20/9/2022;563;;;
19/9/2022;560;;;
16/9/2022;590;;;
15/9/2022;600;;;
14/9/2022;540;;;
13/9/2022;540;;;
12/9/2022;530;;;
09/9/2022;530;;;
08/9/2022;547;;;
07/9/2022;595;;;
06/9/2022;590;;;
05/9/2022;790;;;
02/9/2022;595;;;
01/9/2022;630;;;
31/8/2022;671;;;
30/8/2022;700;;;
29/8/2022;960;;;
26/8/2022;1125;;;
25/8/2022;900;;;
24/8/2022;795;;;
23/8/2022;755;;;
22/8/2022;840;;;
19/8/2022;730;;;
18/8/2022;701;;;
17/8/2022;680;;;
12/8/2022;612;;;
11/8/2022;605;;;
10/8/2022;580;;;
09/8/2022;562;;;
08/8/2022;544,5;;;
05/8/2022;539;;;
04/8/2022;525,5;;;
03/8/2022;521;;;
02/8/2022;520;;;
01/8/2022;508;;;
29/7/2022;498;;;
28/7/2022;490;;;
27/7/2022;504;;;
26/7/2022;493;;;
22/7/2022;458;;;
21/7/2022;447,5;;;
20/7/2022;442;;;
19/7/2022;462;;;
18/7/2022;460;;;
15/7/2022;470;;;
14/7/2022;475;;;
13/7/2022;477,5;;;
12/7/2022;462,5;;;
11/7/2022;455,5;;;
08/7/2022;462;;;
07/7/2022;440;;;
06/7/2022;404;;;
05/7/2022;444,13;;;
04/7/2022;392;;;
01/7/2022;364,5;;;
30/6/2022;364,5;;;
29/6/2022;357,5;;;
28/6/2022;330;;;
27/6/2022;325;;;
24/6/2022;324,45;;;
23/6/2022;323,25;;;
22/6/2022;314;;;
21/6/2022;303,75;;;
20/6/2022;303,5;;;
17/6/2022;308;;;
16/6/2022;302;;;
15/6/2022;295,5;;;
14/6/2022;291;;;
13/6/2022;299,38;;;
10/6/2022;312;;;
09/6/2022;308;;;
08/6/2022;306,13;;;
07/6/2022;312;;;
06/6/2022;314,5;;;
03/6/2022;315;;;
02/6/2022;310,25;;;
01/6/2022;306;;;
31/5/2022;290,5;;;
30/5/2022;303;;;
27/5/2022;300;;;
26/5/2022;303;;;
25/5/2022;301;;;
24/5/2022;303;;;
23/5/2022;302,5;;;
20/5/2022;306,5;;;
19/5/2022;306,5;;;
18/5/2022;305,25;;;
17/5/2022;307,5;;;
16/5/2022;307;;;
13/5/2022;311;;;
12/5/2022;309,25;;;
11/5/2022;301;;;
10/5/2022;296;;;
09/5/2022;302;;;
06/5/2022;301,9;;;
05/5/2022;294,5;;;
04/5/2022;275,35;;;
03/5/2022;258,25;;;
02/5/2022;256;;;
29/4/2022;254,5;;;
28/4/2022;251;;;
27/4/2022;252,88;;;
26/4/2022;250,05;;;
25/4/2022;256,5;;;
22/4/2022;258,5;;;
21/4/2022;253;;;
20/4/2022;243,4;;;
19/4/2022;230;;;
15/4/2022;232;;;
14/4/2022;232;;;
13/4/2022;234;;;
12/4/2022;220;;;
11/4/2022;219,95;;;
08/4/2022;222;;;
07/4/2022;216,5;;;
06/4/2022;211,5;;;
05/4/2022;209;;;
04/4/2022;205,25;;;
01/4/2022;210;;;
31/3/2022;203,5;;;
30/3/2022;205,5;;;
29/3/2022;199;;;
28/3/2022;193;;;
25/3/2022;194,85;;;
24/3/2022;195;;;
23/3/2022;199,5;;;
22/3/2022;189,5;;;
21/3/2022;188,75;;;
18/3/2022;163,5;;;
17/3/2022;193;;;
16/3/2022;192,5;;;
15/3/2022;199;;;
14/3/2022;197,1;;;
11/3/2022;203;;;
10/3/2022;202;;;
09/3/2022;213;;;
08/3/2022;217;;;
07/3/2022;213,05;;;
04/3/2022;206,5;;;
03/3/2022;195;;;
02/3/2022;194;;;
01/3/2022;184;;;
28/2/2022;177;;;
25/2/2022;184,5;;;
24/2/2022;210;;;
23/2/2022;184,5;;;
22/2/2022;172;;;
21/2/2022;162,85;;;
18/2/2022;159,75;;;
17/2/2022;158,35;;;
16/2/2022;156,55;;;
15/2/2022;157;;;
14/2/2022;161,88;;;
11/2/2022;159;;;
10/2/2022;152,25;;;
09/2/2022;157,25;;;
08/2/2022;156,5;;;
07/2/2022;151,75;;;
04/2/2022;153;;;
03/2/2022;146,5;;;
02/2/2022;145;;;
01/2/2022;141;;;
31/1/2022;153,15;;;
28/1/2022;155;;;
27/1/2022;153;;;
26/1/2022;143;;;
25/1/2022;141;;;
24/1/2022;135,9;;;
21/1/2022;127,38;;;
20/1/2022;128,35;;;
19/1/2022;124,7;;;
18/1/2022;125,5;;;
17/1/2022;124,35;;;
14/1/2022;131;;;
13/1/2022;118,5;;;
12/1/2022;123,2;;;
11/1/2022;129;;;
10/1/2022;130,5;;;
07/1/2022;134,45;;;
06/1/2022;140;;;
05/1/2022;141;;;
04/1/2022;140;;;
30/12/2021;225,75;;;
29/12/2021;266,63;;;
28/12/2021;250;;;
27/12/2021;240;;;
22/12/2021;397;;;
21/12/2021;399;;;
20/12/2021;318;;;
17/12/2021;293;;;
16/12/2021;265;;;
15/12/2021;229,75;;;
14/12/2021;231,25;;;
13/12/2021;233,15;;;
10/12/2021;207,05;;;
09/12/2021;207,5;;;
08/12/2021;201,5;;;
07/12/2021;195,95;;;
06/12/2021;185,35;;;
03/12/2021;180,8;;;
02/12/2021;177;;;
01/12/2021;168;;;
30/11/2021;165;;;
29/11/2021;163,25;;;
26/11/2021;163,5;;;
25/11/2021;163,5;;;
24/11/2021;157,15;;;
23/11/2021;150,8;;;
22/11/2021;146,7;;;
19/11/2021;146;;;
18/11/2021;148;;;
17/11/2021;144;;;
16/11/2021;135,15;;;
15/11/2021;128,4;;;
12/11/2021;123,8;;;
11/11/2021;120;;;
10/11/2021;118,5;;;
09/11/2021;121,65;;;
08/11/2021;126,25;;;
05/11/2021;125,5;;;
04/11/2021;122,5;;;
03/11/2021;123,75;;;
02/11/2021;117,25;;;
01/11/2021;121,97;;;
29/10/2021;115,75;;;
28/10/2021;122,5;;;
27/10/2021;131,1;;;
26/10/2021;135;;;
25/10/2021;135;;;
22/10/2021;133;;;
21/10/2021;131;;;
20/10/2021;135,3;;;
19/10/2021;133,05;;;
18/10/2021;139,25;;;
15/10/2021;140;;;
14/10/2021;140;;;
13/10/2021;131,5;;;
12/10/2021;129,25;;;
11/10/2021;130,3;;;
08/10/2021;127,6;;;
07/10/2021;140;;;
06/10/2021;183;;;
05/10/2021;167,5;;;
04/10/2021;152;;;
01/10/2021;139,5;;;
30/9/2021;135,5;;;
29/9/2021;127;;;
28/9/2021;124;;;
27/9/2021;118,25;;;
24/9/2021;111,75;;;
23/9/2021;107,95;;;
22/9/2021;106,7;;;
21/9/2021;108,3;;;
20/9/2021;109,2;;;
17/9/2021;102,25;;;
16/9/2021;104,5;;;
15/9/2021;109,15;;;
14/9/2021;103,9;;;
13/9/2021;103,1;;;
10/9/2021;100,4;;;
09/9/2021;100,15;;;
08/9/2021;97,6;;;
07/9/2021;95,4;;;
06/9/2021;94;;;
03/9/2021;93,25;;;
02/9/2021;91,2;;;
01/9/2021;91,2;;;
31/8/2021;90,2;;;
30/8/2021;89,6;;;
27/8/2021;88,65;;;
26/8/2021;84,5;;;
25/8/2021;85;;;
24/8/2021;85,15;;;
23/8/2021;83;;;
20/8/2021;82;;;
19/8/2021;80,1;;;
18/8/2021;85,75;;;
17/8/2021;87,6;;;
16/8/2021;85,72;;;
13/8/2021;84,7;;;
12/8/2021;85,95;;;
11/8/2021;84,75;;;
10/8/2021;82,53;;;
09/8/2021;81,6;;;
06/8/2021;81,5;;;
05/8/2021;80,15;;;
04/8/2021;79,2;;;
03/8/2021;79,4;;;
02/8/2021;78,7;;;
30/7/2021;77,1;;;
29/7/2021;77,4;;;
28/7/2021;76,4;;;
27/7/2021;74,45;;;
26/7/2021;73,4;;;
23/7/2021;72,2;;;
22/7/2021;71,65;;;
21/7/2021;72,65;;;
20/7/2021;71,5;;;
19/7/2021;73,7;;;
16/7/2021;72;;;
15/7/2021;72,75;;;
14/7/2021;72,7;;;
13/7/2021;73,3;;;
12/7/2021;73,25;;;
09/7/2021;74,5;;;
08/7/2021;72,15;;;
07/7/2021;72,7;;;
06/7/2021;74,4;;;
05/7/2021;77,2;;;
02/7/2021;74,9;;;
01/7/2021;75,6;;;
30/6/2021;73,9;;;
29/6/2021;72,7;;;
28/6/2021;71,4;;;
25/6/2021;71,6;;;
24/6/2021;71,3;;;
23/6/2021;70,65;;;
22/6/2021;69,25;;;
21/6/2021;68,75;;;
18/6/2021;67,3;;;
17/6/2021;66,55;;;
16/6/2021;67,55;;;
15/6/2021;66,85;;;
14/6/2021;68,05;;;
11/6/2021;66,9;;;
10/6/2021;68,15;;;
09/6/2021;66,9;;;
08/6/2021;66;;;
07/6/2021;64;;;
04/6/2021;63,05;;;
03/6/2021;63,45;;;
02/6/2021;63,75;;;
01/6/2021;65,35;;;
28/5/2021;64,5;;;
27/5/2021;64,1;;;
26/5/2021;66,15;;;
25/5/2021;65,45;;;
24/5/2021;63,93;;;
21/5/2021;64;;;
20/5/2021;63;;;
19/5/2021;61,4;;;
18/5/2021;66,1;;;
17/5/2021;68,4;;;
14/5/2021;69,1;;;
13/5/2021;66,15;;;
12/5/2021;68,3;;;
11/5/2021;65,75;;;
10/5/2021;64,9;;;
07/5/2021;63,6;;;
06/5/2021;62,9;;;
05/5/2021;61,35;;;
04/5/2021;60,55;;;
03/5/2021;61,3;;;
30/4/2021;60,5;;;
29/4/2021;59,6;;;
28/4/2021;59,05;;;
27/4/2021;58,85;;;
26/4/2021;58,1;;;
23/4/2021;57,85;;;
22/4/2021;58,6;;;
21/4/2021;57,25;;;
20/4/2021;57,25;;;
19/4/2021;57,2;;;
16/4/2021;57,05;;;
15/4/2021;56,5;;;
14/4/2021;55,15;;;
13/4/2021;55,75;;;
12/4/2021;56,4;;;
09/4/2021;55,95;;;
08/4/2021;56,25;;;
07/4/2021;56,9;;;
06/4/2021;57,5;;;
02/4/2021;56,48;;;
01/4/2021;56,55;;;
31/3/2021;56,35;;;
30/3/2021;56,2;;;
29/3/2021;56,15;;;
26/3/2021;56,2;;;
25/3/2021;55,35;;;
24/3/2021;56,3;;;
23/3/2021;57,05;;;
22/3/2021;57,05;;;
19/3/2021;55,85;;;
18/3/2021;56,9;;;
17/3/2021;56,35;;;
16/3/2021;56,1;;;
15/3/2021;56,6;;;
12/3/2021;57,15;;;
11/3/2021;56,5;;;
10/3/2021;56,35;;;
09/3/2021;55,15;;;
08/3/2021;54,55;;;
05/3/2021;53,5;;;
04/3/2021;53,25;;;
03/3/2021;53,1;;;
02/3/2021;53,75;;;
01/3/2021;53,75;;;
26/2/2021;53,25;;;
25/2/2021;54;;;
24/2/2021;54,15;;;
23/2/2021;53,5;;;
22/2/2021;52,6;;;
19/2/2021;53;;;
18/2/2021;53,4;;;
17/2/2021;52,9;;;
16/2/2021;53,55;;;
15/2/2021;54;;;
12/2/2021;52,9;;;
11/2/2021;53,5;;;
10/2/2021;54,7;;;
09/2/2021;54,2;;;
08/2/2021;54,75;;;
05/2/2021;54;;;
04/2/2021;53,05;;;
03/2/2021;52,5;;;
02/2/2021;51,65;;;
01/2/2021;50,75;;;
29/1/2021;51,45;;;
28/1/2021;51,3;;;
27/1/2021;50,65;;;
26/1/2021;50,55;;;
25/1/2021;51,35;;;
22/1/2021;52,25;;;
21/1/2021;51,9;;;
20/1/2021;51,55;;;
19/1/2021;51,25;;;
18/1/2021;49,95;;;
15/1/2021;50,85;;;
14/1/2021;51,75;;;
13/1/2021;51,9;;;
12/1/2021;53;;;
11/1/2021;52,4;;;
08/1/2021;52,3;;;
07/1/2021;52,05;;;
06/1/2021;51,3;;;
05/1/2021;51,5;;;
04/1/2021;52,6;;;
30/12/2020;52,25;;;
29/12/2020;52,25;;;
28/12/2020;53,1;;;
25/12/2020;52;;;
24/12/2020;51,65;;;
23/12/2020;51;;;
22/12/2020;50,78;;;
